status_id,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
7331091005_10154085811921006,201,1277,34855,534,115,22,0,1
7331091005_10154085783896006,112,65,665,7,1,20,0,1
7331091005_10154085758386006,9,18,291,1,1,11,0,0
7331091005_10154085721286006,102,53,1583,5,12,104,2,1
7331091005_10154085705926006,35,25,498,3,0,6,0,9
7331091005_10154085635811006,327,419,2417,3,160,50,0,1
7331091005_10154085625721006,150,148,2046,5,3,307,1,3
7331091005_10154085580916006,295,335,6131,27,53,91,219,24
7331091005_10154085542316006,98,221,4811,64,95,20,1,11
7331091005_10154085477831006,1160,3728,19492,148,454,867,103,65
7331091005_10154085406236006,803,3584,16696,374,67,570,6,3
7331091005_10154085301291006,45,41,481,4,1,32,0,0
7331091005_10154085280381006,65,217,1722,14,9,3,0,1
7331091005_10154085132261006,44,68,893,12,1,0,2,0
7331091005_10154085032366006,25348,85801,112965,745,3752,1569,40,19
7331091005_10154085024406006,79,339,1811,11,9,1,0,0
7331091005_10154084958896006,261,98,823,51,15,10,4,9
7331091005_10154084887726006,169,343,2723,12,4,232,0,0
7331091005_10154084854976006,915,1787,12052,102,290,68,3,1
7331091005_10154084804851006,1866,5044,17471,128,511,855,4,10
7331091005_10154084805736006,161,78,2802,46,4,26,1,7
7331091005_10154084763136006,252,1416,8672,92,13,578,3,11
7331091005_10154084700221006,28,85,1525,23,0,1,23,0
7331091005_10154083969461006,978,3408,21658,252,37,1583,5,15
7331091005_10154083955621006,185,781,9380,159,25,355,2,11
7331091005_10154083939631006,176,628,2794,32,6,284,0,4
7331091005_10154083934221006,1267,4611,16865,111,191,1623,554,58
7331091005_10154083909596006,1824,11886,22342,366,94,2293,25,45
7331091005_10154083895401006,692,2338,17188,473,19,787,10,55
7331091005_10154083879301006,461,2100,13780,367,133,242,18,27
7331091005_10154083845386006,16983,108444,75315,1370,173,10580,67,205
7331091005_10154083755766006,3730,21293,55146,301,96,9390,67,131
7331091005_10154083696866006,868,1491,6298,60,2,635,0,0
7331091005_10154083496581006,1346,1709,10916,147,58,691,18,9
7331091005_10154083475181006,42,100,4504,75,1,1,48,0
7331091005_10154083437096006,156,63,833,54,15,32,9,19
7331091005_10154083255796006,219,293,957,2,49,54,7,8
7331091005_10154082766016006,80,193,4567,90,29,2,1,3
7331091005_10154082611651006,385,968,7030,99,121,24,1,6
7331091005_10154081701276006,222,882,9502,107,280,35,7,15
7331091005_10154081651056006,945,659,13368,136,32,602,3,33
7331091005_10154081538881006,57,116,1556,57,18,2,2,7
7331091005_10154081537746006,1345,3071,17628,196,504,105,9,11
7331091005_10154081505266006,229,466,5008,57,22,46,2,5
7331091005_10154081418416006,426,372,5874,28,71,87,1,16
7331091005_10154081335941006,556,853,6506,44,170,97,1,5
7331091005_10154081286231006,241,341,9083,136,8,38,1,5
7331091005_10154081203821006,202,583,6862,14,126,128,1,2
7331091005_10154081165516006,390,920,6019,92,17,103,1,3
7331091005_10154080990036006,167,2270,23783,886,53,6,1725,1
7331091005_10154080911381006,119,976,8217,188,10,2,123,4
